用例名称,基础信息-商品名称,基础信息-商品分类,基础信息-商品编码,基础信息-保质期,属性管理-商品规格,属性管理-商品型号,属性管理-商品单位,属性管理-成本价格,属性管理-零售价格,属性管理-库存预警,
新增A账户类型商品A-1成功,A类型1号商品,饮料,123001,0,规格1,型号1,个,1,2,0,0
新增A账户类型商品A-2成功,A类型2号商品,饮料,123002,0,规格1,型号1,个,1,2,0,0
新增B账户类型商品B-1成功,B类型1号商品,衣物,123003,0,规格2,型号2,组,1,2,0,0
新增B账户类型商品B-2成功,B类型2号商品,衣物,123004,0,规格2,型号2,组,1,2,0,0
新增AB账户类型商品AB-1成功,AB类型1号商品,文具,123005,0,规格3,型号3,卷,1,2,0,0
新增AB账户类型商品AB-2成功,AB类型2号商品,文具,123006,0,规格3,型号3,卷,1,2,0,0
新增BA账户类型商品BA-1成功,BA类型1号商品,食品,123007,0,规格1,型号2,根,1,2,0,0
新增BA账户类型商品BA-2成功,BA类型2号商品,食品,123008,0,规格1,型号2,根,1,2,0,0
新增无限制账户类型商品无-1成功,无类型1号商品,日用品,123009,0,规格2,型号3,杯,1,2,0,0
新增无限制账户类型商品无-2成功,无类型2号商品,日用品,123010,0,规格2,型号3,杯,1,2,0,0
